Zip Code,City,County,Population â
10502,Ardsley,Westchester County,5745
14174,Youngstown,Niagara County,5698
10983,Tappan,Rockland County,5670
14487,Livonia,Livingston County,5661
11942,East Quogue,Suffolk County,5620
14837,Dundee,Yates County,5596
13753,Delhi,Delaware County,5593
10516,Cold Spring,Putnam County,5585
10594,Thornwood,Westchester County,5565
14432,Clifton Springs,Ontario County,5520
12542,Marlboro,Ulster County,5490
14009,Arcade,Wyoming County,5477
11940,East Moriches,Suffolk County,5462
12143,Ravena,Albany County,5443
14036,Corfu,Genesee County,5406
12986,Tupper Lake,Franklin County,5356
13778,Greene,Chenango County,5349
10913,Blauvelt,Rockland County,5286
14108,Newfane,Niagara County,5263
14801,Addison,Steuben County,5263
13605,Adams,Jefferson County,5261
12025,Broadalbin,Fulton County,5260
13159,Tully,Onondaga County,5243
14867,Newfield,Tompkins County,5242
12833,Greenfield Center,Saratoga County,5233
11952,Mattituck,Suffolk County,5231
12170,Stillwater,Saratoga County,5225
10928,Highland Falls,Orange County,5208
14131,Ransomville,Niagara County,5182
11980,Yaphank,Suffolk County,5144
13407,Mohawk,Herkimer County,5140
14105,Middleport,Niagara County,5128
10962,Orangeburg,Rockland County,5125
14590,Wolcott,Wayne County,5123
14136,Silver Creek,Chautauqua County,5122
12084,Guilderland,Albany County,5069
11579,Sea Cliff,Nassau County,5062
12962,Morrisonville,Clinton County,5051
13733,Bainbridge,Chenango County,5049
10532,Hawthorne,Westchester County,5040
11514,Carle Place,Nassau County,5040
14572,Wayland,Steuben County,4979
10560,North Salem,Westchester County,4975
14551,Sodus,Wayne County,4956
14727,Cuba,Allegany County,4939
12123,Nassau,Rensselaer County,4938
13624,Clayton,Jefferson County,4933
13830,Oxford,Chenango County,4933
10576,Pound Ridge,Westchester County,4927
14546,Scottsville,Monroe County,4920
14423,Caledonia,Livingston County,4906
14505,Marion,Wayne County,4896
12446,Kerhonkson,Ulster County,4894
13452,Saint Johnsville,Fulton County,4874
14512,Naples,Ontario County,4855
14261,Buffalo,Erie County,4818
11944,Greenport,Suffolk County,4799
12883,Ticonderoga,Essex County,4797
13068,Freeville,Tompkins County,4778
14510,Mount Morris,Livingston County,4778
12522,Dover Plains,Dutchess County,4775
12946,Lake Placid,Essex County,4774
14787,Westfield,Chautauqua County,4756
10993,West Haverstraw,Rockland County,4738
12887,Whitehall,Washington County,4720
13053,Dryden,Tompkins County,4717
13326,Cooperstown,Otsego County,4698
12816,Cambridge,Washington County,4626
12498,Woodstock,Ulster County,4580
10004,New York,New York County,4579
12157,Schoharie,Schoharie County,4574
12845,Lake George,Warren County,4573
14802,Alfred,Allegany County,4563
12580,Staatsburg,Dutchess County,4556
14871,Pine City,Chemung County,4551
14883,Spencer,Tioga County,4540
